Titulo;Autor - Apellido;Autor - Nombre;Genero;Editorial;Coleccion
"El mago de Oz
Adaptacion de James Riordan";Baum;L. Frank;Novela juvenil;Vicens Vives;
El caballero de Olmedo;Lope de Vega;;;Catedra;Letras hispanicas
Su unico hijo;Clarin; Leopoldo Alas;;Alianza;
Misterio del faro abandonado;Lamblin; Pierre;;Molino;Los reportajes de Santi Roger
"El angel de la noche
3. Mas alla de las sombras";Weeks; Brent;;Plaza&Janes;
Un mundo para Julius;Bryce Echenique; Alfredo;;El Mundo;Las 100 mejores novelas
EL amante liberal;;;;;
El Miserere;;;;;
El Padre Elias en Jerusalen;O'Brien; Michael D.;;Libros libres;
Diccionario filosofico;Savater; Fernando;;Booket;
Una muerte muy dulce;Beauvoir; Simone de;;Edhasa;Pocket
Pascal (21);Ponsati-Murla;Oriol;Filosofia;RBA;Comprender la Filosofia
Los perros de la guerra;Forsyth; Frederick;;Circulo de Lectores;
La Ara�a Negra (2);Blasco Iba�ez; Vicente;;ATE;
La reina descalza;Falcones; Ildefonso;;Vintage Espa�ol;
;Sabin;angel;;;
Opiniones de un payaso;Boll; Heinrich;;Seix Barral;Biblioteca Breve
El principe destronado;Delibes; Miguel;;Destino;Ancora y Delfin
EL Silmarillion;Tolkien; J.R.R.;Novela juvenil;Booket;
Schubert;Rowlinson; Mark;;Acento;Guias Musicales
Los problemas de la filosofia;Russel; Bertrand;;Labor;
Vigilia del Almirante;Roa Bastos; Augusto;;El Mundo;Las 100 mejores novelas
Fuerte como la muerte;Maupassant; Guy de;;Libra;Purpura
La primera familia;Dash; Mike;;Debate;
La vida exagerada de Martin Roma�a - Volumen I;Bryce Echenique; Alfredo;;El Mundo;Las 100 mejores novelas
El asunto del testigo reluctante (Jerry Bane);;;;;
125 kilometros;Alvarez Quintero; Serafin y Joaquin;;N/A;
La ilustre fregona;;;;;
Esta Vd de broma, Sr. Feynman?;Feynman; Richard P.;;Alianza;
La Marca del Diablo;Cooper; Glenn;;Debolsillo;
Sartre (14);Gomez Garcia; Juan Carlos;Filosofia;RBA;Comprender la Filosofia
"Festin de cuervos
Cancion de Hielo y Fuego 4";Martin; George R.R.;Novela juvenil;Gigamesh;Ficcion
Los nuevos curas;Saint Pierre; Michael de;;Circulo de Lectores;
Lo que hablan las mujeres;Alvarez Quintero; Serafin y Joaquin;;N/A;
Movimiento perpetuo;Monterroso; Augusto;;El Mundo;Las 100 mejores novelas
Hogar triste;;;;;
El flechazo;Alvarez Quintero; Serafin y Joaquin;;N/A;
Siddharta;Hesse; Hermann;;Bruguera;Libro amigo
La caza del diablo;Doherty; Paul;;Edhasa;
Donde la ciudad cambia su nombre;Candel; Francisco;;Circulo de Lectores;
El monte de las animas;;;;;
El tiempo entre costuras;Due�as; Maria;;Booket;
Los mares del sur;Vazquez Montalban; Manuel;;El Mundo;Las 100 mejores novelas
Cruzada en 'jeans';Beckman;Thea;Novela juvenil;Gran Angular;
Hipas menor;Platon;;Filosofia;Gredos;
El camino del corazon;Sanchez Drago; Fernando;;El Mundo;Las 100 mejores novelas
Un millon de muertos;Gironella; Jose Maria;;Circulo de Lectores;
Antologia del feminismo;Martin-Gamero; Amalia;;Alianza editorial;
La proporcion aurea;Livio; Mario;;Ariel;
Arafat, la biografia;Walker; Tony y Gowers;;ABC;Biografias Vivas
�Por que permanezco en la Iglesia?;Ratzinger;Joseph;Religion;Sigueme;
El traje nuevo del emperador;;;;;
El hombre de la multitud;;;;;
El sue�o de la razon;Fresan;Javier;Divulgacion;RBA;El mundo es matematico
Siruela;;;;Planeta;Enciclopedias Planeta
La secuestrada de Poitiers;Gide; Andre;;Tusquets;Cuadernos Infimos
El miedo a la libertad;Fromm; Erich;;Paidos;Biblioteca del hombre contemporaneo
Los hermanos Karamazov (Tomo I);Dostoiewski; Fedor;;Dalmau Socias;
Dos Juan, buena persona;Alvarez Quintero; Serafin y Joaquin;;N/A;
Ense�anza programada;Montmollin; M. de;;Morata;
El ordenador en el aula;Pentiraro; Egidio;;Anaya;Anaya multimedia
Los ojos verdes;;;;;
Historia de un idiota contada por el mismo;Azua; Felix de;;El Mundo;Las 100 mejores novelas
El libro de las almas;Cooper; Glenn;;Grijalbo;
Como y porque de las frases historicas;Ramirez; Tony;;Edicomunicacion S.A.;Coleccion Ideas
;Marx; Karl;;;
Nuestra Se�ora de Paris I;Hugo;Victor;Novela;Antalbe;
Historia secreta de Las Navas del Marques II;Garcia Yebra; Tomas;;Ediciones Libertarias;
Los 7 habitos de la gente altamente efectiva;Covey; Stephen R.;;Booket;
La pagoda de cristal;Capitan Gilson;;;Seix Barral;
"El cottage de Landon: Un complemento de ""el dominio de Arnheim""";;;;;
Fabulas Literarias;Iriarte; Tomas de;;Catedra;Letras Hispanicas
Un mundo feliz;Huxley; Aldous;;Plaza&Janes;Rotativa
Quo vadis?;Sienkiewicz; Henryk;;Aguilar;Premios Nobel
El charcutero;;;;;
Leyendas del Talmud y del Midras;Berman;Leon;;Riopiedras;
La clave Gaudi;Carranza; Andreu;;Debolsillo;Bestseller
Manchas de sol bajo los cedros;Parera Galmes;Bartolome;Poesia;viveLibro;
El amor: la gran oportunidad;Rojas; Enrique;;Planeta;Temas de hoy
Hegel (13);Mas; Sergio;Filosofia;RBA;Comprender la Filosofia
La calzada de los gigantes;;;;;
Olvidado Rey Gudu (I);Matute;Ana Maria;Novela;Planeta;Narrativa Espa�ola Actual
La Hermandad de la Sabana Santa;Navarro; Julia;;Debolsillo;
Ruta de fuego;Benson; Ann;;Debolsillo;Bestseller
Old Bishops's;Wilde; Oscar;Cuento;Espasa Calpe;Austral
El nido;Alvarez Quintero; Serafin y Joaquin;;N/A;
Juan de Mairena;Machado; Antonio;;El Mundo;Las 100 mejores novelas
"Las Cronicas de Fortuna:
El recuerdo del mago";Ruescas;Javier;Novela juvenil;Destino;
Los cuatro amores;Lewis;Clive S.;;Rayo;
Nada;Laforet; Carmen;;El Mundo;Las 100 mejores novelas
La lucha por la vida I - La busca;Baroja; Pio;;El Mundo;Las 100 mejores novelas
El pie;Alvarez Quintero; Serafin y Joaquin;;N/A;
Viaje a Tierra Santa;Eslava Galan Pi�ero;Juan Antonio;;Booket;
Sonata de oto�o;Valle-Inclan; Ramon del;;Espasa Calpe;Austral
Africanus, el hijo del consul;Posteguillo; Santiago;;Zeta;Africanus - Libro I
La colmena;Cela; Camilo Jose;;Noguer;Galeria Literaria
Obras Incompletas;Fuertes; Gloria;;Catedra;Letras Hispanicas
El club de la Comedia;;;;Punto de lectura;
La mascara de la muerte roja;;;;;
;Thomason;Dustin;;;
A traves de las praderas;;;;;
La maldicion de Thot;Peinkofer; Michael;;Debolsillo;Bestseller
La prueba abisinia;White; Jenny;;RBA;
"Veinte poemas de amor y
una cancion desesperada";Neruda; Pablo;;Visor libros;
Entre bobos anda el juego;Rojas; Francisco de;;Ibero-Americana de publicaciones;
La promesa;;;;;
Bill Gates, una biografia no autorizada;Stagliano; Riccardo;;ABC;Biografias Vivas
EN08 - Cadiz;Perez Galdos; Benito;;Alianza;Episodios Nacionales
Prohibido suicidarse en Primavera;;;;;
El final del Circulo;Egeland; Tom;;Ediciones B;
El otro mundo;;;;;
Heidegger (32);Moreno Claros;Luis Fernando;Filosofia;RBA;Comprender la Filosofia
Ion;Platon;;Filosofia;Gredos;
El principe;Maquiavelo; Nicolas;;Espasa Calpe;Austral
La aventura de los Godos;Cebrian; Juan Antonio;;La esfera de los libros;
;Galan; Lola;;;
Olor a rosas invisibles;Restrepo; Laura;;Lumen;
Escrito en el agua;Miomandre;Francis de;;;
La Traicion de Roma;Posteguillo; Santiago;;Ediciones B;Africanus - Libro III
Werther;Goethe;;;Salvat;Biblioteca basica
Nueva antologia personal;Borges;Jorge Luis;;Bruguera;Literatura Universal Bruguera
El legado de las Runas;Peinkofer; Michael;;Debolsillo;Bestseller
La Santa Bohemia;Dicenta; Jose Fernando;;Ediciones del Centro;
Caidos;;;;;
La fuerza de la sangre;;;;;
Grito en el mar;;;;;
Soldados de Salamina;Cercas; Javier;;Tusquets;Coleccion andanzas
La verdad sobre el caso del se�or Valdemor;;;;;
angel negro;Andrews;V.C.;Novela;Plaza&Janes;Exitos
"Leyendas:
La cruz del diablo";Becquer; Gustavo Adolfo;;Jorge A. Mestas;Clasicos universales
Luna nueva;Meyer; Stephenie;Novela Juvenil;Alfaguara;
Las mocedades de Ulises;Cunqueiro; alvaro;;El Mundo;Las 100 mejores novelas
La vida es sue�o;Calderon de la Barca;Pedro;;Rueda;Clasicos de la Literatura Espa�ola
Renuncia melancolica;;;;;
Por quien doblan las campanas;Hemingway; Ernest;;Planeta;Omnibus
"Jeremy Poldark
Warleggan";Graham; Winston;;Javier Vergara;
Los dedos de Fong;;;;;
El alcalde de Zalamea;;;;;
De los vivos y los muertos;Simonov; Konstantin;;Planeta;Militaria
Madera de Boj;Cela; Camilo Jose;;Espasa Calpe;
El obispo leproso;Miro; Gabriel;;El Mundo;Las 100 mejores novelas
La torre herida por el rayo;Arrabal; Fernando;;El Mundo;Las 100 mejores novelas
El rayo perverso;;;;;
Fin de Partida;;;;;
Abbadon, el exterminador;Sabato; Ernesto;;El Mundo;Las 100 mejores novelas
La nada cotidiana;Valdes; Zoe;;El Mundo;Las 100 mejores novelas
El poder de los muertos;;;;;
El fuego de la vida;Wood; Barbara;;Grijalbo;Libro de mano
La llamada de la tierra;Bertrand;Adrien;;;
Stalin, Instrumentos de terror;Butler; Ruper;Historia;Libsa;
;Gimeno-Besses;Joaquin;;;
"El sol de Breda
Las aventuras del Capitan Alatriste";Perez-Reverte; Arturo;Novela;Punto de lectura;
El cristo de la calavera;;;;;
La conjura de Cortes;Asensi; Matilde;;Booket;
Los privilegios de la vista;;;;;
El torrero;;;;;
Gramatica Parda;Garcia Hortelano; Juan;;El Mundo;Las 100 mejores novelas
El idiota;Dostoiewski; Fedor;;Juventud;
Hombres de maiz;Asturias; Miguel angel;;El Mundo;Las 100 mejores novelas
Russel (25);Sauri Mercader;Francisco Manuel;Filosofia;RBA;Comprender la Filosofia
Requiem ruso;Ryan; William;Novela;Roca Editorial;
Hernan Cortes, inventor de Mexico II;Miralles; Juan;Biografia;ABC;Protagonistas de la historia
William James (29);Del Castillo;Ramon;Filosofia;RBA;Comprender la Filosofia
Los gozos y las sombras III - La Pascua triste;Torrente Ballester; Gonzalo;Novela;El Mundo;Las 100 mejores novelas
La Saga de los malditos;Llorens; Chufo;;Debolsillo;
Prisioneros con dilemas y estrategias dominantes;Deulofeu; Jordi;Divulgacion;RBA;El mundo es matematico
La Renegada;Canavan; Trudi;Novela;Debolsillo;La Espia Traidora II
Los exploradores de la reina;Vidal; Cesar;;Planeta;
Colon;Voltes; Pedro;;Salvat;Grandes biografias
La ajorca de oro;;;;;
La trapera;;;;;
Adivinancero Popular Espa�ol;Fernandez;Concha;;Fundacion Banco Exterior;Coleccion investigaciones
Perry Mason - El caso del ojo de cristal;Gardner; Erle Stanley;;Molino;
Beatriz y los cuerpos celestes;Etxebarria; Lucia;;El Mundo;Las 100 mejores novelas
Vincent van Gogh;Leprohon;Pierre;Biografia;ABC;Protagonistas de la historia
Isaac Newton: una vida;Westfall; Richard S.;Biografia;ABC;Protagonistas de la historia
La verde Mansion de los Jarret;Yerby; Frank;;Planeta;Goliat
Tanasu, el ultimo rey de los guanches;Braem; Harald;;Planeta de Agostini;Novela historica de la Edad Media
La cueva de la mora;;;;;
Extramuros;Fernandez Santos;Jesus;;Circulo de Lectores;Maestros de Narrativa Hispanica
La llama de Alejandria;Peinkofer; Michael;;Debolsillo;Bestseller
Karl Marx;Korsch; Karl;Biografia;ABC;Protagonistas de la historia
Perry Mason - El caso de la coqueta cautelosa;Gardner; Erle Stanley;;Molino;
La mortaja;Delibes; Miguel;;Alianza;Alianza Cien
EL reloj;;;;;
Joan Miro y Catalu�a;Perucho;Juan;Arte;Poligrafa;
"Choque de Reyes
Cancion de Hielo y Fuego 2";Martin; George R.R.;Novela juvenil;Gigamesh;Ficcion
El Horla;Maupassant; Guy de;;Alianza;Alianza Cien
"Sobre la libertad humana en el reino
asturleones hace mil a�os";Sanchez-Albornoz; Claudio;;Espasa Calpe;Austral
Como se hace una novela;;;;;
Los tres Mosqueteros;Dumas; Alejandro;;J. Perez del Hoyo;
El maestro de esgrima;Perez-Reverte; Arturo;;El Mundo;Las 100 mejores novelas
El umbral de la Eternidad;Follett; Ken;;Debolsillo;
Camaradas del frente;Hassel; Sven;Novela;Ediciones G.P.;
El ni�o me retira;Alvarez Quintero; Serafin y Joaquin;;N/A;
El Cardenal;Robinson; Henry Morton;;Circulo de Lectores;
Conversacion con una momia;;;;;
Los espa�oles en la literatura;Menendez Pidal; Ramon;;Espasa Calpe;Austral
El Hobbit;Tolkien; J.R.R.;Novela juvenil;Booket;
La segunda muerte de Ramon Mercader;Semprum;Jorge;;Seix Barral;Literatura Contemporanea
"Con e de extraordinaria.
Historia y aplicaciones de la constante e";Pi�eiro;Gustavo Ernesto;Divulgacion;RBA;El mundo es matematico
Tres fechas;;;;;
Pedro Lopez;Alvarez Quintero; Serafin y Joaquin;;N/A;
El crimen del cine oriente;Tomeo; Javier;;El Mundo;Las 100 mejores novelas
Amor se escribe sin hache;Jardiel Poncela; Enrique;;El Mundo;Las 100 mejores novelas
Convivir con los adolescentes;Auer; Jim;Religion;San Pablo;
Corazon viejo a la ventura;;;;;
Las ninfas;Umbral; Francisco;;Circulo de Lectores;
"Cuentos (2):
La incomparable aventura de un tal Hans Pfall Von Kempelen y su descubrimiento";Poe; Edgar Allan;;Alianza;
Sombra;;;;;
El banquete, o del amor;;;;;
Pelham, uno, dos, tres;Godey; John;;Circulo de Lectores;
Tiempo de silencio;Martin-Santos; Luis;;El Mundo;Las 100 mejores novelas
Los marchosos;Alvarez Quintero; Serafin y Joaquin;;N/A;
El ocho;Neville; Katherine;;Byblos;
El arte de ser feliz;Schopenhauer; Arthur;;Universidad de Alcala;
Espacio-Tiempo Cuantico;Quirantes; Arturo;Divulgacion;RBA;Un paseo por el Cosmos
El demonio de la perversidad;;;;;
Azul;Regas; Rosa;;El Mundo;Las 100 mejores novelas
Piedad postrera;;;;;
Jaque a la Dama;Fernandez Santos;Jesus;Novela;Planeta;
La biblioteca de los muertos;Cooper; Glenn;;Debolsillo;Bestseller
La ecuacion Dante;Jense; Janes;;La factoria de ideas;
El dia que se perdio la cordura;Castillo;Javier;Novela;DeBolsillo;
La asuncion de Hannele;;;;;
Rousseau (16);Ratto;Adrian;Filosofia;RBA;Comprender la Filosofia
El sistema del doctor Tarr y del profesor Fether;;;;;
El Universo (II);Asimov;Isaac;;Alianza editorial;Biblioteca Fundamental de Nuestro Tiempo
El Conde Lucanor;Juan Manuel; Infante;;Castalia;Odres nuevos
Papillon;Charriere; Henri;;Plaza&Janes;
Cien comedias y un drama;Alvarez Quintero; Serafin y Joaquin;;N/A;
El Esbirro;Kourdakov; Sergei;;Astor;
Sue�os;;;;;
Los hermanos Karamazov (Tomo II);Dostoiewski; Fedor;;Dalmau Socias;
Desdichas de la fortuna o Julianillo Valcarcel;;;;;
Alejandro Magno;Renault; Mary;Biografia;ABC;Protagonistas de la historia
Las mejores Historias siniestras;Varios;;;Bruguera;Libro amigo
Los Hijos de Adan;Garcia Saenz de Urturi; Eva;Novela;Amazon;La Saga de los Longevos
Nubarrones;;;;;
Cuestion de actitud;;;Divulgacion;Eucerin;
La voz a ti debida;Salinas; Pedro;;Losada;
"Los Gozos y las sombras
3. La pascua triste";Torrente Ballester; Gonzalo;;Alianza;
;Garfer; Jose Luis;;;
El Caballero de los Siete Reinos;Martin; George R.R.;Novela juvenil;Gigamesh;
La llegada del vampiro;Doherty; Paul;;Edhasa;
El concepto de la angustia;Kierkegaard; S�ren;;Alianza;
Morella;;;;;
"En busca del tiempo perdido
3. El mundo de Guermantes";Proust; Marcel;;Alianza;
Orovida, una mujer judia en la Espa�a del siglo XV;Guiladi; Yael;;Planeta de Agostini;Novela historica de la Edad Media
Rimas y Ritmos;;;;;
Berenice;;;;;
El sobrino de Wittgenstein;Bernhard; Thomas;;Anagrama;Compactos
El coloquio de los perros;;;;;
La mano de Fatima;Falcones; Ildefonso;;Debolsillo;Best Seller
Conciencias cansadas;;;;;
Historia sucinta de la ciencia;Babini; Jose;;Espasa Calpe;Austral
Puerto escondido;Oru�a;Maria;Novela;Booket;
Cien comedias y un drama;Alvarez Quintero; Serafin y Joaquin;;Espasa-Calpe;Teatro completo - XXXV
Problema en Pollensa;Christie; Agatha;;Molino;Biblioteca Oro
Sonata de primavera;Valle-Inclan; Ramon del;;Salvat;Biblioteca basica
Los premios;Cortazar; Julio;;Bruguera;Libro amigo
Introduccion a la filosofia de la historia;Aron; Raymond;;Losada;
El manuscrito de piedra;Garcia Jambrina; Luis;;Punto de lectura;
La vida del Buscon llamado Don Pablos;Quevedo; Francisco de;;Salvat;Biblioteca basica
Freud (23);Cano;German;Filosofia;RBA;Comprender la Filosofia
El manuscrito de nieve;Garcia Jambrina; Luis;;Alfaguara;
Del Sentimiento tragico de la vida;Unamuno; Miguel de;;Espasa Calpe;Austral
"Millennium 2
La chica que so�aba con una cerrilla y un bidon de gasolina";Larsson; Stieg;;Destino;
Imperator;San Sebastian; Isabel;;La esfera de los libros;Novela Historica
El estado absolutista;Anderson; Perry;;Siglo XXI de Espa�a editores;
Gaspar;Benjamin;Rene;;;
La seria;Alvarez Quintero; Serafin y Joaquin;;N/A;
Mediums y Espiritismo;Rodon; Leonardo;Parapsicologia;A�o cero;
Acacia y Meliton;Alvarez Quintero; Serafin y Joaquin;;N/A;
Zalacain, el aventurero;Baroja; Pio;;Espasa Calpe;Austral
Los leones;;;;;
"Limpieza de sangre
Las aventuras del Capitan Alatriste";Perez-Reverte; Arturo;Novela;Punto de lectura;
EL amigo de infancia de Maigret;Simenon; Georges;;Luis de Caralt;
La educacion sentimental - 1;Flaubert; Gustave;;Alianza;
Perry Mason - El caso del sonanbulo;Gardner; Erle Stanley;;Molino;
Las tres hijas de madame Liang;Buck; Pearl S.;;Circulo de Lectores;
"El ""Miserere""";;;;;
La Soledad de los numeros primos;Giordano; Paolo;Novela;Letras de Bolsillo;
Autobiografia literaria de Thingum Bob;;;;;
El prisionero del cielo;Ruiz Zafon; Carlos;;Planeta;
Perry Mason - El caso de la mujer de los ojos verdes;Gardner; Erle Stanley;;Molino;
La enamorada del talento;;;;;
La primavera;;;;;
El amigo fiel;Wilde; Oscar;Cuento;Espasa Calpe;Austral
La historia de Sevilla;Alvarez Quintero; Serafin y Joaquin;;N/A;
Heraclito y Parmenides (27);Ferrer Gracia;Joan;Filosofia;RBA;Comprender la Filosofia
La se�orita de Trevelez;Arniches; Carlos;;Salvat;Biblioteca basica
La boda de Quinita Flores;Alvarez Quintero; Serafin y Joaquin;;N/A;
Soldados del olvido;Sides; Hampton;;Salvat;
Historia de la vida del Buscon, llamado Don Pablos;Quevedo; Francisco de;;Jorge A. Mestas;Clasicos universales
Aterrizaje en la Selva;Radau; Hanns;;Noguer;Cuatro Vientos
El crisantemo y la espada;Benedict; Ruth;;Alianza;
El alma de la ciudad;Sanchez Adalid; Jesus;;Booket;
Requiem por un campesino espa�ol;Sender; Ramon J.;;El Mundo;Las 100 mejores novelas
El laberinto de las sirenas;Baroja; Pio;;Espasa Calpe;Austral
Como resolver los conflictos familiares;;;Divulgacion;Comunidad de Madrid;
El estudiante de Salamanca;;;;;
La vida exagerada de Martin Roma�a - Volumen II;Bryce Echenique; Alfredo;;El Mundo;Las 100 mejores novelas
El tronco de los Folkunga;;;;;
Elogio de la vida imperfecta;Scquizzato;Paolo;;Paulinas;
Socrates (9);Vila Vernis; Ramon;Filosofia;RBA;Comprender la Filosofia
EN02 - La corte de Carlos IV;Perez Galdos; Benito;;Alianza;Episodios Nacionales
;Morales;Francisco;;;
La ruta del doctor Shannon;Cronin; A.J.;;Circulo de Lectores;
El coronel no tiene quien le escriba;Garcia Marquez; Gabriel;;El Mundo;Las 100 mejores novelas
Ru eres el hombre;;;;;
Octubre, octubre - Volumen I;Sampedro; Jose Luis;;El Mundo;Las 100 mejores novelas
El centenario;Alvarez Quintero; Serafin y Joaquin;;N/A;
La saga / Fuga de J.B. -- Volumen I;Torrente Ballester; Gonzalo;;El Mundo;Las 100 mejores novelas
La risa;Alvarez Quintero; Serafin y Joaquin;;N/A;
Cinco lobitos;Alvarez Quintero; Serafin y Joaquin;;N/A;
Navidades Tragicas;Christie; Agatha;;Molino;
Matematicos, espias y piratas informaticos;Gomez Urgelles;Joan;Divulgacion;RBA;El mundo es matematico
Colmillo Blanco;London; Jack;Novela juvenil;M.E. Editores;Clasicos Juveniles
Manifiesto comunista;Engels;Federico;;Alba;
Tierra firme;Asensi; Matilde;;Planeta;
Bomarzo - Volumen I;Mujica Lainez; Manuel;;El Mundo;Las 100 mejores novelas
Crepusculo;Meyer; Stephenie;Novela Juvenil;Alfaguara;
Beltran, un templario en el exilio;Watson; William;;Planeta de Agostini;Novela historica de la Edad Media
El enfermo imaginario;Moliere;;;Salvat;Biblioteca basica
Un lugar llamado libertad;Follet; Ken;;Grijalbo;
Mitos;;;;;
Servidumbre humana;Maugham; W. Somerset;;Circulo de Lectores;
Mahoma;Bobzin; Hartmut;Biografia;ABC;Protagonistas de la historia
El proceso;Kafka; Franz;;M.E. Editores;Clasicos de siempre
Husserl (38);Mendoza-Canales;Ricardo;Filosofia;RBA;Comprender la Filosofia
Mientras la ciudad duerme;Yerby; Frank;;Circulo de Lectores;
El documento Q;Vidal; Cesar;;Planeta;
El aliento perdido. Cuento que nada tiene que ver con el Blackwood;;;;;
Perry Mason - El caso del retrato falso;Gardner; Erle Stanley;;Molino;
Se�as de identidad;Goytisolo; Juan;;El Mundo;Las 100 mejores novelas
Milagros de Nuestra Se�ora;Berceo; Gonzalo de;;Castalia;Odres Nuevos
El Dragon de Hielo;Martin; George R.R.;Novela juvenil;Montena;
El hombre demolido;Bester; Alfred;Ciencia Ficcion;Minotauro;
Errantes;;;;;
Mahoma: su vida y su fe;Andrae; Tor;;Alianza;
Mistificaciion;;;;;
Las hijas del Capitan;Due�as; Maria;Novela;Booket;
Un so�ador para un pueblo;;;;;
El ultimo cruzado, La vida de D. Juan de Austria;Wohl; Louis de;;Palabra;
El ruise�or;;;;;
Lazarillo de Tormes;Anonimo;;;Planeta;
Cuatro bestias en una. El hombre-camaleopardo;;;;;
Los ni�os de la guerra;Rodriguez de Aldecoa;Josefina;;Anaya;
La esxperiencia amorosa del joven Goethe;Palau; Jose;;Iberia J. Gil;
El Simbolo Perdido;Brown; Dan;;Booket;
Los Thibault - 3;Martin du Gard; Roger;;Alianza;
El arbol de la ciencia;Baroja; Pio;;Alianza;
Augusto;Suetonio;;;National Geographic;Historia
El corazon de Piedra verda;Madariaga; Salvador de;;Plaza&Janes;Ave Fenix
Las Puertas del Infierno;Peinkofer; Michael;;Debolsillo;
Los amantes de Teruel;Hartzenbusch; Eugenio de;;Ibero-Americana de publicaciones;
La reina oculta;Molist; Jorge;;MR;
Los hechos del rey Arturo y sus nobles caballeros;Steinbeck; John;;Planeta de Agostini;Novela historica de la Edad Media
"Novelas ejemplares:
La gitanilla";Cervantes Saavedra; Miguel de;;Ramon Sopena;Biblioteca Hispania ilustrada
Como agua para chocolate;Esquivel; Laura;;El Mundo;Las 100 mejores novelas
El tiempo de la noche;Sloane; William;Ciencia Ficcion;Minotauro;
El oscuro espejo de los dias felices;Koen; Karleen;;Plaza&Janes;Los Jet de P&J
Perry Mason - El caso de la Modelo Asustada;Gardner; Erle Stanley;;Molino;
La ilustre fregona;;;;;
Libro del Buen Amor;Arcipreste de Hita;;;Espasa Calpe;Austral
El muchacho persa;Renault; Mary;Novela;Grijalbo;Trilogia Alejandro Magno II
La corza blanca;;;;;
El monte de las animas;;;;;
El rayo de luna;;;;;
Ariana y Barba azul;;;;;
Los Thibault - 1;Martin du Gard; Roger;;Alianza;
La caida del rey;;;;;
La desdicha pasa;;;;;
"Leyendas y Narraciones:
La cueva de la mora";Becquer; Gustavo Adolfo;;Libra;Purpura
Antifragil;Taleb; Nassim Nicholas ;;Paidos;Transiciones
Hombre y Mujer los creo;San Juan Pablo II;;;Ediciones Cristiandad;
Romeo y Julieta;Shakespeare;William;Teatro;Austral;
Civilizacion;Duhamel;Georges;;;
Concerto Grosso;Zaragoza; Juan Ramon;Novela;Mundo actual de ediciones;
Los panaderos;;;;;
El principito;Saint-Exupery; Antoine de;;Alianza;
La protesta juvenil;Carandell; Jose Maria;;Salvat;Grandes temas
"Cuentos:
La sagaz princesa o las aventuras de la Picarilla";Perrault;;;Circulo de Lectores;Cuentos de mama Oca
El vago;;;;;
La novia gitana;Mola;Carmen;Novela;DeBolsillo;
